name,repo_name
Nimrod,jboy/nim-pymod
Nim,google/flatbuffers
Nginx,letsencrypt/letsencrypt
Nextflow,nextflow-io/nextflow
NewLisp,jlord/git-it-electron
NetLogo,openmole/openmole
Nemerle,JetBrains/Nitra
Nearley,Hardmath123/nearley
Nasal,ArduPilot/ardupilot
NWScript,joshumax/hurd
NSIS,jp9000/obs-studio
NCL,samwisehawkins/wrftools
NASL,angular/angular
Myghty,cloudera/hue
Mustache,grafana/grafana
Move,debrief/debrief
Motoko,puppylinux-woof-CE/woof-CE
MoonScript,Olivine-Labs/busted
Moocode,mollstam/UnrealPy
Monkey C,google/open-location-code
Monkey,JaviCervera/vortex
Module Management System,ketoo/NoahGameFrame
Modula-3,blackducksoftware/ohcount
Modula-2,emacs-mirror/emacs
Modelica,jumpserver/jumpserver
Mirah,mirah/mirah
Metal,FlexMonkey/Filterpedia
Meson,nlohmann/json
Mermaid,PyCQA/pylint
Mercury,jverkoey/nimbus
Max,RangeNetworks/openbts
Matlab,dmlc/mxnet
Mathematica,AlDanial/cloc
Mask,cloudera/hue
Marko,patrick-steele-idem/morphdom
Markdown,apple/swift-evolution
Mako,airbnb/caravel
Makefile,tensorflow/tensorflow
Macaulay2,fhinkel/InteractiveShell
MQL5,vdemydiuk/mtapi
MQL4,vdemydiuk/mtapi
MLIR,tensorflow/tensorflow
MAXScript,urho3d/Urho3D
MATLAB,DrKLO/Telegram
M4,google/protobuf
M,Microsoft/WinObjC
Lua,Microsoft/vscode
Logtalk,AlDanial/cloc
Logos,itsabot/abot
LiveScript,karma-runner/karma
Liquid,Shopify/liquid
Limbo,mesonbuild/meson
LilyPond,jwiegley/org-mode
Lex,Croteam-official/Serious-Engine
Less,atom/atom
Lean,AlDanial/cloc
Latte,osmcz/osmcz
Lasso,svenfuchs/adva_cms
LabVIEW,lionsoul2014/ip2region
LSL,cloudera/hue
LOLCODE,justinmeza/lci
LLVM,tensorflow/tensorflow
LFE,AlDanial/cloc
Kotlin,facebook/react-native
Kit,malarkey/320andup
KiCad Layout,cuwire/viewee.js
KiCad,r-lyeh/scriptorium
KakouneScript,mawww/kakoune
Kaitai Struct,mitmproxy/mitmproxy
KRL,spurious/kawa-mirror
Jupyter Notebook,tensorflow/tensorflow
Julia,AlDanial/cloc
Jsonnet,grafana/grafana
Jolie,bitkeeper-scm/bitkeeper
Jinja,ansible/ansible
JetBrains MPS,AlDanial/cloc
JavaScript,FreeCodeCamp/FreeCodeCamp
Java,tensorflow/tensorflow
Jasmin,pxb1988/dex2jar
JSONiq,cucumber/cucumber
JSON,KSP-CKAN/CKAN-meta
JFlex,JetBrains/intellij-haxe
J,CompSciCabal/SMRTYPRTY
Isabelle,AlDanial/cloc
Ioke,cucumber/cuke4duke
Io,gravitational/teleport
Inno Setup,Microsoft/vscode
Inform 7,ElektraInitiative/libelektra
Imba,krausest/js-framework-benchmark
ImageJ Macro,bioconda/bioconda-recipes
Idris,AlDanial/cloc
IGOR Pro,AlDanial/cloc
IDL,WhisperSystems/Signal-Android
HyPhy,celluloid/dcell
Hy,docker-library/official-images
HolyC,AlDanial/cloc
HiveQL,apache/spark
Haxe,begriffs/postgrest
Haskell,koalaman/shellcheck
Harbour,wecodemore/grunt-githooks
Handlebars,TryGhost/Ghost
Haml,LukyVj/family.scss
Hack,jekyll/jekyll
HTML,FreeCodeCamp/FreeCodeCamp
