name,count
Linus Torvalds,17254
David S. Miller,6481
Takashi Iwai,5789
Chris Lattner,4206
Al Viro,4158
H Hartley Sweeten,4111
Mark Brown,3948
Doug Gregor,3889
Arnd Bergmann,3573
Ingo Molnar,3517
