name,repo_name
Vim Script,apple/swift
Swift,apple/swift
Shell,apple/swift
Ruby,apple/swift
Roff,apple/swift
Python,apple/swift
Objective-C++,apple/swift
Objective-C,apple/swift
Makefile,apple/swift
LLVM,apple/swift
Emacs Lisp,apple/swift
DTrace,apple/swift
D,apple/swift
CMake,apple/swift
C++,apple/swift
C,apple/swift
Batchfile,apple/swift
SCSS,twbs/bootstrap
PowerShell,twbs/bootstrap
JavaScript,twbs/bootstrap
HTML,twbs/bootstrap
CSS,twbs/bootstrap
Visual Basic,Microsoft/vscode
TypeScript,Microsoft/vscode
ShaderLab,Microsoft/vscode
Rust,Microsoft/vscode
R,Microsoft/vscode
Perl 6,Microsoft/vscode
Perl,Microsoft/vscode
PHP,Microsoft/vscode
Lua,Microsoft/vscode
Java,Microsoft/vscode
Inno Setup,Microsoft/vscode
HLSL,Microsoft/vscode
Groovy,Microsoft/vscode
Go,Microsoft/vscode
F#,Microsoft/vscode
Dockerfile,Microsoft/vscode
CoffeeScript,Microsoft/vscode
Clojure,Microsoft/vscode
C#,Microsoft/vscode
Vim Snippet,tensorflow/tensorflow
Starlark,tensorflow/tensorflow
SourcePawn,tensorflow/tensorflow
Smarty,tensorflow/tensorflow
Pawn,tensorflow/tensorflow
MLIR,tensorflow/tensorflow
Jupyter Notebook,tensorflow/tensorflow
Cython,tensorflow/tensorflow
